,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCCIDENTAL,KATANGA,MANIEMA,NORDKIVU,ORIENTALE,SUDKIVU
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0
6,5,12,5,8,14,21,5,5,12,4
7,8,13,11,22,14,29,6,6,16,8
8,7,27,6,27,15,18,5,6,16,12
9,9,24,10,22,23,20,5,4,16,7
10,6,28,8,23,13,16,7,7,14,8
11,6,15,4,17,15,17,2,8,16,8
12,8,26,14,26,15,33,10,13,23,10
13,7,25,8,31,18,12,8,10,20,10
14,11,23,6,37,14,19,7,5,22,14
15,6,24,4,17,17,17,5,10,18,10
16,10,16,10,21,7,14,7,9,10,13
17,11,14,4,33,17,26,7,11,21,7
18,9,17,7,34,10,20,7,5,10,5
19,8,26,11,18,14,16,6,9,12,10
20,7,17,8,23,9,19,8,12,16,6
21,6,19,5,16,9,18,5,9,13,13
22,8,17,7,17,11,17,1,7,10,3
23,2,12,5,14,11,11,4,4,17,8
24,13,14,5,28,8,19,4,6,16,8
25,10,21,6,30,15,19,7,3,20,16
26,10,17,4,26,15,19,4,15,20,8
27,11,28,2,30,11,28,12,9,21,11
28,14,16,5,21,13,22,4,10,14,3
29,4,20,6,29,15,25,8,6,16,13
30,5,12,2,29,10,21,9,10,15,10
31,9,19,11,25,20,19,9,10,20,4
32,4,9,10,15,11,15,5,11,17,10
33,7,20,9,30,8,23,9,8,7,12
34,6,13,5,23,16,9,5,8,12,3
35,5,24,4,19,23,16,5,5,12,9
36,3,17,4,16,20,21,9,8,25,5
37,6,23,4,21,4,14,14,11,29,6
38,9,24,8,18,22,14,12,13,13,8
39,12,24,4,25,15,21,10,12,25,11
40,8,20,6,27,14,18,11,11,13,7
41,5,26,12,25,16,20,7,7,21,7
42,5,20,8,27,9,29,8,5,21,9
43,7,24,6,28,14,20,8,10,14,10
44,2,19,11,23,9,16,9,10,21,12
45,7,14,8,30,10,22,5,8,19,8
46,5,20,1,27,8,22,6,5,17,5
47,4,22,5,22,8,15,4,7,20,5
48,9,12,9,18,12,10,5,7,8,7
49,18,25,5,21,8,14,4,9,14,11
50,10,20,12,30,9,21,6,6,13,9
51,5,17,5,31,9,14,4,12,17,7
52,14,26,2,20,12,18,5,9,25,4
53,9,20,10,26,14,23,17,9,26,13
54,5,27,7,29,8,21,13,12,21,10
55,4,23,9,24,14,15,13,7,13,6
56,4,12,5,25,15,14,6,12,23,6
57,7,22,6,29,14,21,9,14,16,9
58,3,14,7,15,9,14,9,7,18,12
59,10,10,5,28,12,18,3,10,16,10
