,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCC,KASAIOR,KATANGA,MANIEMA,NKIVU,ORIENTALE,SKIVU
"0",0,0,0,0,0,0,0,0,0,0,0
"1",0,0,0,0,0,0,0,0,0,0,1
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,2
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",5,12,5,8,14,21,5,5,12,4,15
"7",8,13,11,22,14,29,6,6,16,8,22
"8",7,27,6,27,15,18,5,6,16,12,18
"9",9,24,10,22,23,20,5,4,16,7,18
"10",6,28,8,23,13,16,7,7,14,8,16
"11",6,15,4,17,15,17,2,8,16,8,10
"12",8,26,14,26,15,33,10,13,23,10,22
"13",7,25,8,31,18,12,8,10,20,10,29
"14",11,23,6,37,14,19,7,5,22,14,25
"15",6,24,4,17,17,17,5,10,18,10,19
"16",10,16,10,21,7,14,7,9,10,13,17
"17",11,14,4,33,17,26,7,11,21,7,16
"18",9,17,7,34,10,20,7,5,10,5,17
"19",8,26,11,18,14,16,6,9,12,10,17
"20",7,17,8,23,9,19,8,12,16,6,12
"21",6,19,5,16,9,18,5,9,13,13,13
"22",8,17,7,17,11,17,1,7,10,3,8
"23",2,12,5,14,11,11,4,4,17,8,11
"24",13,14,5,28,8,19,4,6,16,8,12
"25",10,21,6,30,15,19,7,3,20,16,24
"26",10,17,4,26,15,19,4,15,20,8,19
"27",11,28,2,30,11,28,12,9,21,11,22
"28",14,16,5,21,13,22,4,10,14,3,14
"29",4,20,6,29,15,25,8,6,16,13,15
"30",5,12,2,29,10,21,9,10,15,10,22
"31",9,19,11,25,20,19,9,10,20,4,21
"32",4,9,10,15,11,15,5,11,17,10,15
"33",7,20,9,30,8,23,9,8,7,12,20
"34",6,13,5,23,16,9,5,8,12,3,27
"35",5,24,4,19,23,16,5,5,12,9,14
"36",3,17,4,16,20,21,9,8,25,5,7
"37",6,23,4,21,4,14,14,11,29,6,23
"38",9,24,8,18,22,14,12,13,13,8,24
"39",12,24,4,25,15,21,10,12,25,11,15
"40",8,20,6,27,14,18,11,11,13,7,21
"41",5,26,12,25,16,20,7,7,21,7,18
"42",5,20,8,27,9,29,8,5,21,9,19
"43",7,24,6,28,14,20,8,10,14,10,15
"44",2,19,11,23,9,16,9,10,21,12,14
"45",7,14,8,30,10,22,5,8,19,8,14
"46",5,20,1,27,8,22,6,5,17,5,23
"47",4,22,5,22,8,15,4,7,20,5,11
"48",9,12,9,18,12,10,5,7,8,7,9
"49",18,25,5,21,8,14,4,9,14,11,17
"50",10,20,12,30,9,21,6,6,13,9,15
"51",5,17,5,31,9,14,4,12,17,7,13
"52",14,26,2,20,12,18,5,9,25,4,16
"53",9,20,10,26,14,23,17,9,26,13,15
"54",5,27,7,29,8,21,13,12,21,10,19
"55",4,23,9,24,14,15,13,7,13,6,16
"56",4,12,5,25,15,14,6,12,23,6,14
"57",7,22,6,29,14,21,9,14,16,9,17
"58",3,14,7,15,9,14,9,7,18,12,25
"59",10,10,5,28,12,18,3,10,16,10,9
