,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCC,KASAIOR,KATANGA,MANIEMA,NKIVU,ORIENTALE,SKIVU
0,7,6,1,15,11,8,22,8,8,7,7
1,9,30,3,20,12,27,18,10,4,22,13
2,9,22,9,31,23,19,23,10,14,22,9
3,4,17,6,43,12,34,26,10,11,15,8
4,9,38,9,37,21,18,29,5,13,16,15
5,16,17,8,20,13,28,29,8,16,19,7
6,7,18,6,15,17,18,26,8,5,17,6
7,9,13,10,23,13,23,29,6,6,15,8
8,9,28,6,27,16,19,19,5,6,17,12
9,8,23,11,20,23,19,21,5,4,17,7
10,4,29,7,21,14,17,15,7,8,14,9
11,5,18,4,16,17,11,17,2,8,15,9
12,8,29,14,25,15,22,32,10,16,22,10
13,8,26,8,33,17,28,13,9,10,21,10
14,12,23,5,35,16,24,19,7,6,24,14
15,4,23,4,17,18,19,16,5,10,19,10
16,11,16,10,21,7,18,14,8,9,10,13
17,12,15,4,27,17,16,26,7,11,22,7
18,9,17,8,32,9,20,19,8,5,11,6
19,7,26,11,19,14,16,14,4,10,11,10
20,7,19,8,22,10,14,20,7,9,16,6
21,7,23,4,18,9,13,18,4,9,13,11
22,8,16,7,19,10,8,15,1,8,9,3
23,0,11,5,13,11,11,11,4,4,17,7
24,13,13,5,24,9,13,16,4,6,10,9
25,9,19,4,28,13,20,15,7,4,19,16
26,8,17,5,17,16,18,19,4,14,16,8
27,12,27,2,25,10,21,28,12,8,18,11
28,13,16,5,16,13,13,21,4,9,12,3
29,4,21,6,26,14,15,22,8,6,17,14
30,5,13,1,27,9,20,21,9,9,10,9
31,8,19,11,22,20,22,19,8,9,19,3
32,5,8,12,13,10,13,13,4,12,11,10
33,7,20,8,25,8,18,19,9,8,5,11
34,7,14,5,21,15,25,10,6,5,10,4
35,7,23,5,19,22,17,15,6,4,12,9
36,1,13,4,14,22,6,19,6,8,20,5
37,7,22,4,19,4,20,10,11,11,25,5
38,10,26,9,16,23,22,12,10,12,10,8
39,10,23,4,23,14,13,19,9,10,20,13
40,5,21,6,22,13,20,18,9,8,10,7
41,4,23,11,23,17,18,18,5,6,15,5
42,4,20,8,25,10,15,28,8,5,17,9
43,7,23,3,23,12,14,14,8,10,7,9
44,2,21,11,21,8,14,15,8,8,18,12
45,7,13,8,23,11,17,16,6,9,16,10
46,2,19,1,22,7,22,19,5,5,12,4
47,4,20,5,20,7,11,14,5,6,15,5
48,9,11,9,16,11,9,6,5,6,6,6
49,16,24,5,16,8,16,12,5,10,10,11
50,7,20,11,25,8,9,20,6,3,11,8
51,4,17,4,25,10,12,13,4,11,13,5
52,13,23,3,17,10,17,19,3,7,18,3
53,8,20,11,24,12,13,23,14,6,19,12
54,5,24,5,23,7,15,18,7,12,11,9
55,2,21,7,24,12,15,11,8,8,9,5
56,3,10,5,17,16,13,15,6,11,13,5
57,6,20,7,22,11,19,17,8,13,10,5
58,3,14,5,15,9,28,13,11,8,12,11
59,9,8,4,23,11,12,14,3,10,9,9
