,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCC,KASAIOR,KATANGA,MANIEMA,NKIVU,ORIENTALE,SKIVU
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,1,1,2,0,0,0,0,0
2,1,0,1,0,0,0,0,0,0,1,0
3,1,1,0,1,0,2,1,1,0,0,0
4,0,2,2,1,1,1,0,0,1,0,0
5,1,2,0,2,1,1,1,0,0,2,0
6,1,1,0,2,1,1,3,1,0,4,0
7,1,0,0,1,1,1,3,0,1,1,1
8,2,1,0,0,2,1,2,0,0,1,1
9,2,11,3,5,6,4,4,2,1,2,5
10,3,16,2,12,6,3,3,2,8,4,3
11,5,11,2,9,9,5,8,0,6,9,8
12,7,19,11,16,11,11,13,5,12,16,8
13,7,20,6,15,11,13,6,5,9,13,9
14,10,13,4,23,12,8,8,4,6,17,12
15,2,15,4,11,11,8,11,2,7,14,7
16,11,9,5,13,2,12,11,5,8,5,10
17,11,12,1,19,13,11,12,5,9,16,4
18,8,15,8,19,6,10,11,3,5,6,5
19,6,23,11,15,9,10,7,2,10,11,8
20,7,14,5,14,5,6,9,3,7,11,5
21,7,18,3,13,3,4,5,1,8,9,10
22,6,14,3,12,6,4,8,1,7,6,3
23,0,9,4,7,8,7,5,1,4,11,5
24,11,10,3,14,6,8,10,2,4,9,8
25,8,16,4,22,10,13,12,3,4,12,13
26,7,13,5,9,12,15,11,4,12,10,8
27,12,19,2,17,7,11,12,9,8,14,9
28,12,14,5,12,10,11,11,3,8,7,3
29,4,19,3,18,11,8,15,5,5,14,14
30,5,8,1,21,9,11,12,7,9,6,7
31,7,16,10,8,14,13,13,4,9,11,3
32,5,6,12,10,8,9,10,4,11,6,8
33,7,18,8,18,8,10,10,7,8,4,11
34,7,11,5,14,12,19,3,5,5,8,3
35,6,14,5,12,19,10,12,3,3,6,9
36,1,11,3,10,18,6,13,5,8,15,5
37,7,19,3,13,4,14,7,9,10,17,5
38,8,20,8,9,16,8,9,7,10,9,7
39,8,17,4,14,12,9,10,3,8,12,12
40,5,17,4,17,11,15,8,6,7,9,6
41,4,19,10,15,13,14,9,5,6,12,4
42,4,18,6,20,8,12,18,6,5,10,6
43,7,18,3,17,9,7,9,6,9,5,9
44,2,18,10,15,4,9,13,3,7,13,11
45,7,11,7,17,8,8,10,3,9,12,8
46,2,15,1,14,5,15,11,3,4,9,4
47,4,14,4,16,5,8,10,2,6,13,5
48,9,8,7,12,9,7,3,3,5,5,6
49,14,21,5,12,6,10,6,4,7,9,11
50,7,15,9,18,7,8,12,6,3,9,8
51,4,16,4,21,8,7,10,3,11,8,5
52,13,19,2,10,7,7,14,3,5,14,3
53,8,15,11,20,9,8,16,6,5,10,11
54,5,22,5,17,7,10,13,5,12,6,8
55,2,20,7,20,7,10,7,4,7,5,1
56,3,10,5,9,12,5,9,6,11,10,5
57,6,14,7,14,9,13,9,3,11,9,3
58,3,12,4,10,5,18,8,8,8,8,10
59,6,6,4,18,8,11,8,3,10,5,8
