,KINSHASA,BANDUNDU,BASCONGO,EQUATEUR,KASAIOCC,KASAIOR,KATANGA,MANIEMA,NKIVU,ORIENTALE,SKIVU
"1",28,37,49,46,54,71,88,10,86,34,36
"2",47,36,50,46,74,129,57,13,41,45,34
"3",28,19,32,17,32,60,36,16,26,22,17
"4",29,10,14,20,16,51,16,3,15,23,11
"5",12,4,20,17,7,42,18,3,12,14,5
"6",6,4,12,15,6,21,13,3,6,7,8
"7",11,9,7,11,3,11,10,1,3,10,5
"8",4,3,8,4,8,9,6,4,3,8,3
"9",4,2,6,5,7,11,6,3,5,2,1
"10",2,0,3,5,5,9,5,0,9,6,2
"11",3,1,3,1,2,3,4,1,5,3,1
"12",0,2,3,3,1,9,1,0,4,4,2
"13",1,1,6,2,2,4,2,0,5,3,3
"14",1,2,2,0,2,4,2,0,3,1,1
"15",1,1,2,0,2,4,1,0,5,1,3
"16",0,0,4,2,1,2,2,0,4,1,0
"17",0,1,0,0,1,1,1,1,4,0,0
"18",0,0,2,0,1,0,3,0,1,1,0
"19",3,0,3,1,0,1,1,1,2,1,1
"20",1,0,0,1,1,0,4,0,4,2,3
"21",0,2,1,0,0,1,1,0,3,1,1
"22",2,1,1,0,0,0,1,0,0,1,2
"23",0,2,1,0,0,0,2,0,3,2,2
"24",1,1,0,0,0,0,2,0,0,1,1
"25",1,0,1,0,0,0,3,0,4,2,2
"26",1,2,2,0,0,1,1,0,3,3,2
"27",0,2,1,0,0,1,3,0,3,1,0
"28",3,0,2,1,0,1,1,0,3,1,2
"29",0,1,0,0,0,1,3,0,4,1,0
"30",0,1,0,1,0,2,1,0,3,4,2
"31",0,2,0,0,0,0,0,0,2,0,1
"32",0,1,1,0,0,0,1,0,1,2,0
"33",1,1,0,0,0,0,0,0,0,0,1
"34",0,1,0,0,0,0,0,0,1,0,0
"35",0,0,1,0,0,0,1,0,0,0,0
"36",0,0,0,1,0,0,0,0,1,0,0
"37",0,0,0,0,0,0,1,0,0,1,0
"38",0,0,1,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0,0,0,1,0
"40",0,1,0,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0
"42",0,1,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0,0,0,1,0
"46",0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,1,0,0
"48",0,1,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0,0,1
"51",0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0,0,0,1
"60",0,0,0,0,0,0,0,0,0,0,0
